id,priority,type,title,url,topic,notes
case_009,P2,auto_pdf,UN-Habitat Responsible AI in Cities PDF,https://unhabitat.org/sites/default/files/2025/11/global_assessment_of_responsible_ai_in_cities_24112025.pdf,ai_governance,PDF
case_010,P2,auto_html,Global Observatory of Urban AI,https://gouai.cidob.org/,ai_governance,城市AI案例库
case_011,P2,auto_html,CIDOB Atlas of Urban AI first report,https://www.cidob.org/publicaciones/mapeo-de-la-inteligencia-artificial-urbana-primer-informe-del-atlas-de-la,ai_governance,城市AI报告
project_007,P0,auto_html,三区两翼打造世界级AI集聚地,https://kw.beijing.gov.cn/xwdt/kcyx/xwdtcyfz/202604/t20260403_4573808.html,project_industry,2026年官方部门转载三区两翼和37平方公里
project_008,P1,auto_html,北京发布首批4个人工智能创新街区,https://kw.beijing.gov.cn/xwdt/kcyx/xwdtshgg/202601/t20260121_4452025.html,project_industry,海淀原点社区约3平方公里
project_009,P1,auto_html,北京奋力打造全球人工智能创新高地,https://www.beijing.gov.cn/fuwu/lqfw/gggs/202603/t20260331_4570534.html,project_ai,中关村论坛和百年京张AI创新带背景
policy_011,P0,auto_html,北京市发改委版人工智能+行动计划,https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/bwqtwj/202407/t20240726_3760264.htm,ai_policy,多部门正式印发文本优先于转载
policy_012,P0,auto_html,北京市人工智能创新高地建设推进会,https://fgw.beijing.gov.cn/gzdt/fgzs/tpxw/202601/t20260106_4404914.htm,ai_policy,2026年发布九大行动和首批创新街区
policy_013,P1,auto_html,北京加快打造人工智能万亿级产业集群,https://kw.beijing.gov.cn/xwdt/kcyx/xwdtcyfz/202603/t20260302_4546431.html,ai_policy,2026年产业规模企业算力和创新街区
policy_014,P0,auto_html,北京市十五五规划纲要页面,https://www.beijing.gov.cn/zhengce/zhengcefagui/202604/t20260407_4576089.html,planning,2026-2030北京市规划纲要
policy_015,P0,auto_pdf,北京市十五五规划纲要PDF,https://www.beijing.gov.cn/zhengce/zhengcefagui/202604/W020260521433654900452.pdf,planning,优先下载PDF
transport_001,P1,auto_html,北京市慢行系统规划2020-2035公示报道,https://www.beijing.gov.cn/ywdt/gzdt/202109/t20210903_2483137.html,transport,规划期覆盖2035
transport_002,P1,auto_html,北京市十四五时期交通发展建设规划,https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/ghjhwb/wngh/202206/t20220625_3732854.htm,transport,绿色出行慢行智慧停车背景
transport_003,P1,auto_html,2026年非机动车停放秩序治理专项行动计划,https://jtw.beijing.gov.cn/xxgk/dtxx/202603/t20260318_4560621.html,transport,2026年非机动车治理和停车供给
standard_001,P1,auto_html,城市道路慢行系统绿道与滨水慢行路融合规划设计标准页面,https://ghzrzyw.beijing.gov.cn/biaozhunguanli/bz/szjgdjt/202405/t20240531_3700152.html,transport_standard,DB11T2209-2023入口
standard_002,P1,auto_pdf,城市道路慢行系统绿道与滨水慢行路融合规划设计标准PDF,https://ghzrzyw.beijing.gov.cn/biaozhunguanli/bz/szjgdjt/202405/P020240531370798445170.pdf,transport_standard,标准PDF
standard_003,P1,auto_html,滨水慢行系统规划设计导则征求意见,https://swj.beijing.gov.cn/swdt/tzgg/202501/t20250117_3991712.html,transport_standard,征求意见稿入口非最终稿
standard_004,P1,auto_docx,滨水慢行系统规划设计导则征求意见稿DOCX,https://swj.beijing.gov.cn/swdt/tzgg/202501/P020250117535098047096.docx,transport_standard,征求意见稿需标记draft
park_005,P1,auto_html,京张铁路遗址公园一期全面建成开放,https://yllhj.beijing.gov.cn/zwgk/zwxx/202306/t20230626_3145467.shtml,park,一期2.5公里16.8公顷
park_006,P1,auto_html,海淀版京张铁路遗址公园二期开工计划,https://zyk.bjhd.gov.cn/ywdt/hdywx/202409/t20240920_4670752_hd.shtml,park,二期9公里服务社区高校科研机构
park_007,P1,auto_html,北京市园林绿化局京张铁路遗址公园,https://yllhj.beijing.gov.cn/ggfw/bjsggml/zhgy/hdq/202507/t20250724_4156668.shtml,park,公园名录和服务信息需人工核验地址字段
